"id","code","name","definition","level","comments","source_id/id","system"
hc_procedure.proc_not_perf_rsn_395675007,"395675007","Oral contraceptive pill contraindicated","Oral contraceptive pill contraindicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_719603008,"719603008","Rabies post exposure prophylaxis contraindicated","Rabies post exposure prophylaxis contraindicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_417101006,"417101006","Selective estrogen receptor modulator contraindicated","Selective estrogen receptor modulator contraindicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_183934000,"183934000","Sensitivity contraindication to procedure","Sensitivity contraindication to procedure (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_415571003,"415571003","Spirometry reversibility testing contraindicated","Spirometry reversibility testing contraindicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_315363002,"315363002","Statins contraindicated","Statins contraindicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_416996000,"416996000","Strontium ranelate contraindicated","Strontium ranelate contraindicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_275935009,"275935009","Surgery contraindicated","Surgery contraindicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_438767006,"438767006","Termination of pregnancy contraindicated","Termination of pregnancy contraindicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_390910005,"390910005","Thrombolysis contraindicated","Thrombolysis contraindicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_415666001,"415666001","Administration of sulfonylurea contraindicated","Administration of sulfonylurea contraindicated (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_315364008,"315364008","Angiotensin converting enzyme inhibitors contraindicated","Angiotensin converting enzyme inhibitors contraindicated (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_394987009,"394987009","Angiotensin II receptor antagonists contraindicated","Angiotensin II receptor antagonists contraindicated (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_413558003,"413558003","Anticoagulation contraindicated","Anticoagulation contraindicated (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_312451002,"312451002","Aspirin prophylaxis contra-indicated","Aspirin prophylaxis contra-indicated (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_315062004,"315062004","Beta blocker contraindicated","Beta blocker contraindicated (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_416091008,"416091008","Glitazones contraindicated","Glitazones contraindicated (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_170954008,"170954008","Hormone replacement therapy contraindicated","Hormone replacement therapy contraindicated (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_266758009,"266758009","Immunization contraindicated","Immunization contraindicated (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_719467000,"719467000","Measles vaccination contraindicated","Measles vaccination contraindicated (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_719473004,"719473004","Rubella vaccination contraindicated","Rubella vaccination contraindicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_275974002,"275974002","Measles/mumps/rubella vaccine contraindicated","Measles/mumps/rubella vaccine contraindicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_707298000,"707298000","Phosphodiesterase-5 inhibitor contraindicated","Phosphodiesterase-5 inhibitor contraindicated (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_719476007,"719476007","Poliomyelitis vaccination contraindicated","Poliomyelitis vaccination contraindicated (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_719472009,"719472009","Rabies vaccination contraindicated","Rabies vaccination contraindicated (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_703999002,"703999002","Raloxifene contraindicated","Raloxifene contraindicated (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_698521002,"698521002","Simvastatin contraindicated","Simvastatin contraindicated (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_703997000,"703997000","Teriparatide contraindicated","Teriparatide contraindicated (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_698468005,"698468005","Bisoprolol contraindicated","Bisoprolol contraindicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_715166006,"715166006","Bacillus Calmette-Guerin vaccination contraindicated","Bacillus Calmette-Guerin vaccination contraindicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_719469002,"719469002","Cholera vaccination contraindicated","Cholera vaccination contraindicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_183936003,"183936003","Contraindication to live immunization","Contraindication to live immunization (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_715163003,"715163003","Diphtheria vaccination contraindicated","Diphtheria vaccination contraindicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_719886001,"719886001","Haemophilus influenzae type b vaccination contraindicated","Haemophilus influenzae type b vaccination contraindicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_719330009,"719330009","Hepatitis A vaccination contraindicated","Hepatitis A vaccination contraindicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_699037006,"699037006","Hepatitis B vaccination contraindicated","Hepatitis B vaccination contraindicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_390796006,"390796006","Influenza vaccination contraindicated","Influenza vaccination contraindicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_719458000,"719458000","Japanese encephalitis vaccination contraindicated","Japanese encephalitis vaccination contraindicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_268560002,"268560002","Medical C/I - immunization","Medical C/I - immunization (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_719598000,"719598000","Meningitis C vaccination contraindicated","Meningitis C vaccination contraindicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_171284002,"171284002","Pertussis vaccine contraindicated","Pertussis vaccine contraindicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_390795005,"390795005","Pneumococcal vaccination contraindicated","Pneumococcal vaccination contraindicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_171277005,"171277005","Sensitivity contraindicated - immunization","Sensitivity contraindicated - immunization (situation) aka  Sensitivity C/I - immunization","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_719325005,"719325005","Smallpox vaccination contraindicated","Smallpox vaccination contraindicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_719474005,"719474005","Tetanus vaccination contraindicated","Tetanus vaccination contraindicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_719457005,"719457005","Tick-borne encephalitis vaccination contraindicated","Tick-borne encephalitis vaccination contraindicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_719320000,"719320000","Yellow fever vaccination contraindicated","Yellow fever vaccination contraindicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_719324009,"719324009","Combined hepatitis A and B vaccination contraindicated","Combined hepatitis A and B vaccination contraindicated (situation)","6","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_425519007,"425519007","Cardiopulmonary resuscitation discontinued - medical control order","Cardiopulmonary resuscitation discontinued as per protocol (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_426970003,"426970003","Cardiopulmonary resuscitation discontinued - return of spontaneous circulation","Cardiopulmonary resuscitation discontinued due to do not resuscitate order (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_426999008,"426999008","Cardiopulmonary resuscitation discontinued - signs of death","Cardiopulmonary resuscitation discontinued due to medical control order (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_427569000,"427569000","Cardiopulmonary resuscitation discontinued as per protocol","Cardiopulmonary resuscitation discontinued due to return of spontaneous circulation (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_425921008,"425921008","Cardiopulmonary resuscitation discontinued due to do not resuscitate order","Cardiopulmonary resuscitation discontinued due to signs of death (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_274512008,"274512008","Drug therapy discontinued","Drug therapy discontinued (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_439516000,"439516000","Hemodialysis therapy discontinued","Hemodialysis therapy discontinued (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_438604008,"438604008","Peritoneal dialysis therapy discontinued","Peritoneal dialysis therapy discontinued (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_713246009,"713246009","Procedure discontinued by healthcare professional","Procedure discontinued by healthcare professional (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_713247000,"713247000","Procedure discontinued by patient","Procedure discontinued by patient (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_394909009,"394909009","Syringe driver discontinued","Syringe driver discontinued (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_710765004,"710765004","Wound drain discontinued","Wound drain discontinued (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_182840001,"182840001","Drug treatment stopped - medical advice","Drug treatment stopped - medical advice (situation) aka Drug Rx stopped-medical advice","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_430279008,"430279008","Drug treatment stopped at end of clinical trial","Drug treatment stopped at end of clinical trial (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_70732231000132100,"70732231000132100","Duplicate drug therapy discontinued","Duplicate drug therapy discontinued (situation) aka Duplicate drug therapy stopped","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_170958006,"170958006","Hormonal replacement therapy stopped","Hormonal replacement therapy stopped (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_412782003,"412782003","Inappropriate medication stopped","Inappropriate medication stopped (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_170689008,"170689008","Injectable phenothiazine stopped","Injectable phenothiazine stopped (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_170688000,"170688000","Lithium stopped","Lithium stopped (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_395008009,"395008009","Medication stopped - contra-indication","Medication stopped - contra-indication (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_395007004,"395007004","Medication stopped - ineffective","Medication stopped - ineffective (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_395006008,"395006008","Medication stopped - interaction","Medication stopped - interaction (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_395009001,"395009001","Medication stopped - side effect","Medication stopped - side effect (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_170624001,"170624001","Oral steroids stopped","Oral steroids stopped (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_309841001,"309841001","Thyroxine treatment stopped","Thyroxine treatment stopped (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_170919001,"170919001","Warfarin therapy stopped","Warfarin therapy stopped (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_182845006,"182845006","Doctor stopped drugs - avoid interaction","Doctor stopped drugs - avoid interaction (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_182843004,"182843004","Doctor stopped drugs - inconvenient","Doctor stopped drugs - inconvenient (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_182841002,"182841002","Doctor stopped drugs - ineffective","Doctor stopped drugs - ineffective (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_182846007,"182846007","Doctor stopped drugs - medical aim achieved","Doctor stopped drugs - medical aim achieved (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_182844005,"182844005","Doctor stopped drugs - patient dislikes","Doctor stopped drugs - patient dislikes (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_182842009,"182842009","Doctor stopped drugs - side effect","Doctor stopped drugs - side effect (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_713248005,"713248005","Procedure discontinued by doctor","Procedure discontinued by doctor (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_314374001,"314374001","360 degree sweep of cervix not performed","360 degree sweep of cervix not performed (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_165008002,"165008002","Allergy testing not done","Allergy testing not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_169704000,"169704000","Antenatal blood group screening not done","Antenatal blood group screening not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_169610006,"169610006","Antenatal care: not attended","Antenatal care: not attended (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_169708002,"169708002","Antenatal sickle screening not done","Antenatal sickle screening not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_169699008,"169699008","Antenatal syphilis screening not done","Antenatal syphilis screening not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_4451000175106,"4451000175106","Asthma action plan not done","Asthma action plan not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_164746007,"164746007","Auditory/vestibular test not done","Auditory/vestibular test not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_719828003,"719828003","Autopsy not done","Autopsy not done (situation) aka Autopsy waived","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_719072001,"719072001","Biopsy of kidney not done","Biopsy of kidney not done (situation) aka Kidney biopsy not done, Renal biopsy not done","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_713207007,"713207007","Block dissection of cervical lymph nodes not done","Block dissection of cervical lymph nodes not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_4591000175100,"4591000175100","Bone density screening not done","Bone density screening not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_722825000,"722825000","Bowel preparation not done","Bowel preparation not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_165074004,"165074004","Cardiac function test not done","Cardiac function test not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_428348004,"428348004","Cardiopulmonary resuscitation not attempted","Cardiopulmonary resuscitation not attempted (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_397399004,"397399004","Cell phenotyping not performed","Cell phenotyping not performed (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_167728005,"167728005","CSF chemistry - not tested","Cerebrospinal fluid chemistry - not tested (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_167701000,"167701000","CSF: not examined","Cerebrospinal fluid: not examined (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_4461000175108,"4461000175108","Cervical cancer screening not done","Cervical cancer screening not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_4471000175100,"4471000175100","Colorectal cancer screening not done","Colorectal cancer screening not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_399538001,"399538001","Cytogenetic study not performed","Cytogenetic study not performed (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_439867009,"439867009","Determination of pattern of resistance to antiviral agent not done","Determination of pattern of resistance to antiviral agent not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_4481000175102,"4481000175102","Diabetes mellitus screening not done","Diabetes mellitus screening not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_4551000175107,"4551000175107","Diabetic foot examination not done","Diabetic foot examination not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_4581000175103,"4581000175103","Diabetic retinal eye exam not done","Diabetic retinal eye exam not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_699231000,"699231000","Domestic abuse not discussed","Domestic abuse not discussed (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_164853006,"164853006","ECG not done","Electrocardiogram not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_165139002,"165139002","Endoscopy not carried out","Endoscopy not carried out (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
